Strategy,Mean Gross Return (%),Mean Net Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Average Turnover
LSTM,0.3281242852173913,0.29328211130434784,2.0788951940691756,2.239511253984215,-43.75650078998895,56.66086956521739,0.6968434782608697
Short-Term Reversal,0.23793668787557434,0.21448272887946268,2.6524150161317204,1.2836632827418033,-64.9604293569062,53.57016613644397,0.469079179922234
