Model,Mean Gross Return (%),Mean Net Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Average Turnover
Baseline LSTM,0.3281242852173913,0.29328211130434784,2.0788951940691747,2.2395112539842157,-43.75650078998895,56.66086956521739,0.6968434782608697
Feature-LSTM,0.3485531252173913,0.31668616869565214,2.1334107080803513,2.3564319130369347,-44.94494642277319,57.14782608695652,0.6373391304347826
